created_at,id,full_text,is_quote_status,retweet_count,favorite_count,user.id,user.name,user.screen_name,user.location,user.followers_count,user.friends_count,user.listed_count,user.verified,user.statuses_count
2021-10-24 18:24:20+00:00,1452340196012433400,@bridget_law @lululemon Oh okay I’ll try that!! I’m over being excluded from everything 😡,False,0,0,31601134,Amelia Kraus,shmelia427,"Boston, MA",322,243,1,False,8178
2021-10-24 18:42:21+00:00,1452344731183292400,@lululemon pls restock scuba hoodie,False,0,0,324675941,Millie Lynn,millieischilly,,491,436,0,False,15047
2021-10-24 18:04:30+00:00,1452335205147189200,Trying to find this little side bag by @lululemon - the one my daughter bought me on 8/4/2021 (My B-Day) has already been discolored - bleeding color - is there a @lululemon support number? Really love this item! https://t.co/VNZ7LC4y3P,False,0,1,1403868777712865300,NotarizeMiami,MiamiNotarize,,27,325,0,False,95
2021-10-24 18:04:10+00:00,1452335121105883100,So @lululemon has literally gotten rid of a whole profession of first responders responsible for taking care of the ill and vaccinations. Shame on you. https://t.co/WNJQehSSCn,False,0,0,3299948060,Tanishia Henderson,TanishiaHDoc,"Orlando, FL",93,153,2,False,1454
2021-10-24 19:10:49+00:00,1452351893640986600,Nothing better than the Sweat Collective discount at @lululemon. The perks of being a coach 👍,False,0,3,2743643574,Coach Kurt Freytag,CoachFreytag,"Indianapolis, IN",822,461,1,False,7879
2021-10-24 19:54:15+00:00,1452362823275798500,"Happy #respiratorycareweek, Respiratory Therapists are no longer considered healthcare workers to @lululemon",False,1,0,240956999,Brooke Smith,brookelynreigel,,158,325,0,False,11326
2021-10-24 19:35:39+00:00,1452358144554905600,Apparently mental health professionals not considered healthcare workers anymore. My mom just got denied a discount she had been receiving and was told “now it’s only for nurses and doctors”. Not a good move or message @lululemon.,False,4,24,346441514,Marya J,marya_jan,Chicago,292,425,2,False,6867
2021-10-24 20:14:38+00:00,1452367954486513700,"@TanisS_14 @lululemon Haha, I am on board with this 😅",False,0,0,14584991,Jenessa,jenessa_love,,292,634,6,False,1779
2021-10-24 19:47:47+00:00,1452361196850528300,https://t.co/OWHVSIB2Aa @lululemon https://t.co/BELPc6TlpB,True,0,0,574997209,Asma Afridi,aafridi6,,101,156,2,False,322
2021-10-24 21:08:12+00:00,1452381435227115500,"@lululemon I spoke to customer service about signing up for the Military discount as a member of the Canadian Coast Guard, and they advised to sign up as Canadian Navy. Did so, and SheerID rejected it. Help!",False,0,0,805677374,grace,GracieHarper115,Victoria BC,96,293,1,False,1989
2021-10-24 22:23:00+00:00,1452400259884327000,"RT @beccahuynh: hey @lululemon pls know I love you and literally wear you on a daily basis, but i along with many others are suuuuper disap…",False,3,0,1360931090,Shealagh 🖤,schlahh,barrie,9,23,0,False,15
